Chromosome,-log10(P-value),Log2 Fold Change,Gene,Ensembl ID
chrM,100.652,7.747,MT-RNR1,ENSG00000211459.2
chr9,26.359,6.627,GCNT1,ENSG00000187210.14_5
chr9,14.74,6.336,AL161626.1,ENSG00000241781.2
chr11,26.846,6.224,AAMDC,ENSG00000087884.14_6
chr8,16.461,6.023,,
chr1,28.27,5.934,RYR2,ENSG00000198626.17_6
chr1,41.615,5.85,RYR2,ENSG00000198626.17_6
chr1,19.208,5.79,RYR2,ENSG00000198626.17_6
chr19,13.481,5.757,,
chr6,18.053,5.694,H4C3,ENSG00000197061.4_3
chr16,12.225,5.651,MTRNR2L4,ENSG00000232196.4_3
chr2,20.807,5.306,,
chr9,17.948,5.271,GCNT1,ENSG00000187210.14_5
chr16,7.369,5.221,ALDOA|AC093512.2,ENSG00000285043.1_2||ENSG00000149925.20_7
chr1,12.813,5.188,DDOST,ENSG00000244038.9_6
chr12,9.926,5.165,AC079949.1,ENSG00000239776.2
chr12,9.926,5.121,AC079949.1,ENSG00000239776.2
chr1,18.719,5.108,RYR2,ENSG00000198626.17_6
chr9,37.783,5.098,SNORD36C,ENSG00000252542.1
chr8,13.567,5.071,RPL30,ENSG00000156482.11_4
chrM,25.106,5.053,MT-RNR1,ENSG00000211459.2
chr17,29.862,4.959,SNHG16,ENSG00000163597.15_3
chr2,5.281,4.928,,
chr11,10.519,4.928,WDR74,ENSG00000133316.15_6
chr11,10.519,4.915,WDR74,ENSG00000133316.15_6
chr11,10.218,4.91,WDR74,ENSG00000133316.15_6
chr6,10.171,4.898,SNORD101,ENSG00000206754.1
chr1,14.003,4.889,ARF1,ENSG00000143761.16_4
chr17,9.012,4.882,SNHG16,ENSG00000163597.15_3
chr17,28.624,4.876,SNHG16,ENSG00000163597.15_3
chr12,6.247,4.852,PDE3A,ENSG00000172572.6_3
chr12,13.76,4.823,SNORA53,ENSG00000212443.1
chr12,25.675,4.822,SNORA53,ENSG00000212443.1
chr11,6.175,4.813,,
chr1,5.579,4.71,RNVU1-14|AC245014.3,ENSG00000276216.1_6||ENSG00000207501.1
chr5,400.0,4.621,SNORA74A,ENSG00000200959.1
chr5,400.0,4.609,SNORA74A,ENSG00000200959.1
chr5,400.0,4.595,SNORA74A,ENSG00000200959.1
chr9,400.0,4.584,SNORD36C,ENSG00000252542.1
chr20,29.708,4.559,RPS21,ENSG00000171858.18_3
chr12,4.719,4.555,BRI3BP,ENSG00000184992.13_6
chr12,4.095,4.551,TUBA1C,ENSG00000167553.15_3
chr12,8.858,4.55,TMBIM6,ENSG00000139644.13_8
chr19,16.721,4.548,RPS16,ENSG00000105193.9_4
chr16,12.797,4.545,UBFD1,ENSG00000103353.16_5
chr19,23.471,4.542,TMEM38A,ENSG00000072954.7_4
chr1,4.34,4.533,,
chr1,4.34,4.533,,
chr1,4.984,4.514,SKI,ENSG00000157933.10_3
chr19,22.932,4.473,TMEM38A,ENSG00000072954.7_4
chr11,4.694,4.464,,
chr17,16.405,4.452,SNORD91A,ENSG00000212163.5_3
chr12,7.634,4.448,TMBIM6,ENSG00000139644.13_8
chr1,13.675,4.444,,
chr18,5.527,4.444,,
chrM,25.396,4.439,MT-RNR2,ENSG00000210082.2
chr17,15.314,4.427,P4HB,ENSG00000185624.15_4
chr21,7.444,4.408,GET1,ENSG00000182093.16_6
chr13,20.644,4.363,SNORD102,ENSG00000207500.1
chr19,3.964,4.343,ARHGEF18|AC008878.3,ENSG00000104880.18_4||ENSG00000268861.7_7
chr19,3.801,4.343,CALM3,ENSG00000160014.17_5
chr12,10.171,4.337,CCT2,ENSG00000166226.13_3
chr8,12.335,4.331,RPL30,ENSG00000156482.11_4
chr5,400.0,4.322,SNORA74A,ENSG00000200959.1
chr3,8.121,4.319,RPN1,ENSG00000163902.12_5
chr18,11.249,4.306,GALNT1,ENSG00000141429.13_3
chr1,4.34,4.284,,
chr11,4.34,4.284,STT3A,ENSG00000134910.14_6
chr5,14.619,4.269,RACK1,ENSG00000204628.12_7
chr9,3.964,4.267,AIF1L,ENSG00000126878.13_3
chr1,9.886,4.262,PABPC4,ENSG00000090621.14_7
chr9,17.355,4.243,RORB,ENSG00000198963.11_3
chr9,17.355,4.243,RORB,ENSG00000198963.11_3
chrX,4.725,4.24,ATP6AP1,ENSG00000071553.17_5
chr5,15.993,4.24,HNRNPAB,ENSG00000197451.12_4
chr5,15.661,4.21,HNRNPA0,ENSG00000177733.7_4
chrM,7.292,4.202,MT-RNR2,ENSG00000210082.2
chr17,46.373,4.198,RPL23A,ENSG00000198242.14_3
chr6,6.936,4.197,HIST1H4B,ENSG00000124529.3
chr1,28.693,4.166,GAS5,ENSG00000234741.8_8
chr11,39.193,4.155,EEF1G,ENSG00000254772.10_5
chr10,6.549,4.151,,
chr8,3.801,4.136,,
chr16,4.391,4.118,MCRIP2,ENSG00000172366.20_6
chr18,3.057,4.105,PRELID3A,ENSG00000141391.14_5
chr22,4.143,4.099,NF2,ENSG00000186575.18_4
chr3,9.916,4.079,AC073861.1,ENSG00000242299.1_5
chrM,66.774,4.074,MT-RNR2,ENSG00000210082.2
chr6,12.424,4.045,HIST1H4B,ENSG00000124529.3
chr3,4.694,4.04,SLC33A1,ENSG00000169359.16_7
chr6,3.507,4.023,TSPYL1,ENSG00000189241.7_5
chr11,39.845,4.008,EEF1G,ENSG00000254772.10_5
chr20,5.165,4.004,APMAP,ENSG00000101474.12_5
chr19,400.0,4.002,SNORD34,ENSG00000202503.1
chr19,8.215,3.999,BICRA,ENSG00000063169.10_6
chr17,12.772,3.993,P4HB,ENSG00000185624.15_4
chr2,5.806,3.984,,
chr2,11.249,3.983,,
chr19,6.725,3.98,NCLN,ENSG00000125912.11_4
chr20,5.527,3.975,,
chr15,13.31,3.963,HACD3,ENSG00000074696.13_4
chr19,400.0,3.958,SNORD34,ENSG00000202503.1
chr11,18.316,3.955,RPS3,ENSG00000149273.15_4
chr17,34.698,3.954,RPL23A,ENSG00000198242.14_3
